,loss,accuracy,precision,recall,pr_auc,val_loss,val_accuracy,val_precision,val_recall,val_pr_auc
0,29.754528045654297,0.551630437374115,0.11393152177333832,0.5659824013710022,0.7278745174407959,27.10719871520996,0.09239130467176437,0.09239130467176437,1.0,0.32768502831459045
1,28.117298126220703,0.09273097664117813,0.09273097664117813,1.0,0.3249880075454712,26.100954055786133,0.09239130467176437,0.09239130467176437,1.0,0.3244381844997406
2,27.096939086914062,0.09273097664117813,0.09273097664117813,1.0,0.3272634446620941,25.104948043823242,0.09239130467176437,0.09239130467176437,1.0,0.3494136333465576
3,26.089265823364258,0.09273097664117813,0.09273097664117813,1.0,0.3383426070213318,24.21446990966797,0.09239130467176437,0.09239130467176437,1.0,0.3344123065471649
4,25.1124324798584,0.09273097664117813,0.09273097664117813,1.0,0.33676767349243164,23.312519073486328,0.09239130467176437,0.09239130467176437,1.0,0.3420258164405823
5,24.17818832397461,0.36039403080940247,0.1181214451789856,0.9120879173278809,0.3523596525192261,22.48410415649414,0.36277174949645996,0.12098298966884613,0.9411764740943909,0.35603171586990356
6,23.289775848388672,0.378057062625885,0.12512031197547913,0.9523809552192688,0.3760153353214264,21.678590774536133,0.47826087474823,0.1409090906381607,0.9117646813392639,0.4051222801208496
7,22.43994140625,0.6307744383811951,0.17124393582344055,0.7765567898750305,0.533902645111084,20.910236358642578,0.55298912525177,0.15926893055438995,0.8970588445663452,0.468525767326355
8,21.6333065032959,0.661005437374115,0.18723037838935852,0.7948718070983887,0.5844321846961975,20.165191650390625,0.65625,0.17770035564899445,0.75,0.5934591293334961
9,20.873594284057617,0.7241848111152649,0.21360255777835846,0.7362637519836426,0.668580949306488,19.487314224243164,0.6426630616188049,0.1782178282737732,0.7941176295280457,0.5673876404762268
10,20.146774291992188,0.7241848111152649,0.21897810697555542,0.7692307829856873,0.6962560415267944,18.81456184387207,0.6834239363670349,0.19557195901870728,0.779411792755127,0.6524494886398315
11,19.437580108642578,0.7663043737411499,0.25326991081237793,0.7802197933197021,0.7917940616607666,18.195524215698242,0.6521739363670349,0.19078947603702545,0.8529411554336548,0.6371951103210449
12,18.777849197387695,0.7588315010070801,0.24681344628334045,0.7802197933197021,0.8201711177825928,17.5699405670166,0.7133151888847351,0.2151394486427307,0.7941176295280457,0.7377773523330688
13,18.163969039916992,0.7459239363670349,0.23698781430721283,0.7838827967643738,0.7994851469993591,16.94539451599121,0.8274456262588501,0.28776979446411133,0.5882353186607361,0.890955924987793
14,17.559490203857422,0.7995923757553101,0.28257888555526733,0.7545787692070007,0.8616202473640442,16.45981216430664,0.7214673757553101,0.22040815651416779,0.7941176295280457,0.7225953340530396
15,16.953577041625977,0.7788723111152649,0.27659574151039124,0.8571428656578064,0.8498698472976685,15.913575172424316,0.7744565010070801,0.25,0.720588207244873,0.8128008842468262
16,16.41888999938965,0.795516312122345,0.28719276189804077,0.8131868243217468,0.8718752861022949,15.452413558959961,0.7133151888847351,0.2260536402463913,0.8676470518112183,0.701274037361145
17,15.889006614685059,0.7917798757553101,0.2858942151069641,0.831501841545105,0.8615459203720093,14.969220161437988,0.7255434989929199,0.2341269850730896,0.8676470518112183,0.7149840593338013
18,15.38049030303955,0.7961956262588501,0.2895752787590027,0.8241758346557617,0.8703283667564392,14.55702018737793,0.616847813129425,0.1834319531917572,0.9117646813392639,0.599014401435852
19,14.90632438659668,0.796875,0.2881355881690979,0.8095238208770752,0.8736042976379395,14.093147277832031,0.6521739363670349,0.19078947603702545,0.8529411554336548,0.6448959708213806
20,14.439361572265625,0.7802309989929199,0.2779097259044647,0.8571428656578064,0.8544491529464722,13.614762306213379,0.75951087474823,0.25339367985725403,0.8235294222831726,0.7752374410629272
21,13.98681926727295,0.8046875,0.29866665601730347,0.8205128312110901,0.8936270475387573,13.252325057983398,0.645380437374115,0.1916932910680771,0.8823529481887817,0.6559407711029053
22,13.539748191833496,0.82642662525177,0.3285302519798279,0.8351648449897766,0.9045454263687134,12.898810386657715,0.5788043737411499,0.17119565606117249,0.9264705777168274,0.5726515054702759
23,13.13722038269043,0.7975543737411499,0.293213814496994,0.8388278484344482,0.8743104934692383,12.497050285339355,0.6222826242446899,0.1818181872367859,0.8823529481887817,0.6089878678321838
24,12.724884033203125,0.818953812122345,0.31690141558647156,0.8241758346557617,0.8987224102020264,12.16913890838623,0.55027174949646,0.15844155848026276,0.8970588445663452,0.5340425968170166
25,12.361228942871094,0.803328812122345,0.29654255509376526,0.8168498277664185,0.882671058177948,11.823317527770996,0.5366848111152649,0.15789473056793213,0.9264705777168274,0.5301257371902466
26,11.958880424499512,0.8223505616188049,0.3263888955116272,0.860805869102478,0.8982251882553101,11.404803276062012,0.6603260636329651,0.1986754983663559,0.8823529481887817,0.6626298427581787
27,11.596643447875977,0.80638587474823,0.3078913390636444,0.8717948794364929,0.8868771195411682,11.08393669128418,0.6385869383811951,0.19062499701976776,0.8970588445663452,0.6382553577423096
28,11.245443344116211,0.8179348111152649,0.3191196620464325,0.8498168587684631,0.902792751789093,10.787829399108887,0.5964673757553101,0.17378917336463928,0.8970588445663452,0.5918766856193542
29,10.901923179626465,0.818953812122345,0.32758620381355286,0.9047619104385376,0.8908352851867676,10.440646171569824,0.6698369383811951,0.20136518776416779,0.8676470518112183,0.6681598424911499
30,10.571327209472656,0.8305026888847351,0.3390313386917114,0.8717948794364929,0.9132469892501831,10.126855850219727,0.6847826242446899,0.2028985470533371,0.8235294222831726,0.6935074329376221
31,10.27877426147461,0.8152173757553101,0.3156462609767914,0.8498168587684631,0.889240562915802,9.807535171508789,0.75,0.24336282908916473,0.8088235259056091,0.7597873210906982
32,9.980672836303711,0.796875,0.29662078619003296,0.8681318759918213,0.8729063868522644,9.53282356262207,0.72826087474823,0.22499999403953552,0.7941176295280457,0.743881106376648
33,9.682746887207031,0.81419837474823,0.31385868787765503,0.8461538553237915,0.8943477272987366,9.279952049255371,0.69972825050354,0.21132075786590576,0.8235294222831726,0.7054116129875183
34,9.37053108215332,0.813858687877655,0.3188405930995941,0.8864468932151794,0.9028708338737488,9.01652717590332,0.7010869383811951,0.21641790866851807,0.8529411554336548,0.7072024345397949
35,9.083990097045898,0.8505434989929199,0.3680884540081024,0.8534798622131348,0.9322521686553955,8.827901840209961,0.570652186870575,0.16486486792564392,0.8970588445663452,0.5754522085189819
36,8.824067115783691,0.8349184989929199,0.3422222137451172,0.8461538553237915,0.9246183633804321,8.575116157531738,0.57201087474823,0.16711589694023132,0.9117646813392639,0.588665783405304
37,8.55681037902832,0.8474864363670349,0.36626139283180237,0.8827838897705078,0.9314123392105103,8.33460807800293,0.58423912525177,0.16944444179534912,0.8970588445663452,0.5895091891288757
38,8.318031311035156,0.8318614363670349,0.34497207403182983,0.9047619104385376,0.9121959805488586,8.097794532775879,0.59375,0.17280453443527222,0.8970588445663452,0.5992894172668457
39,8.05949878692627,0.851902186870575,0.37519142031669617,0.8974359035491943,0.9347292184829712,7.887564182281494,0.570652186870575,0.16486486792564392,0.8970588445663452,0.5754581689834595
40,7.8335418701171875,0.823369562625885,0.33422818779945374,0.9120879173278809,0.9072096943855286,7.627438068389893,0.6426630616188049,0.18649516999721527,0.8529411554336548,0.6550643444061279
41,7.594407558441162,0.84035325050354,0.3578643500804901,0.9084249138832092,0.9252415895462036,7.421205520629883,0.63451087474823,0.184952974319458,0.8676470518112183,0.6463867425918579
42,7.3719987869262695,0.85326087474823,0.37712520360946655,0.8937729001045227,0.9338788390159607,7.2299418449401855,0.6100543737411499,0.17699114978313446,0.8823529481887817,0.6230347752571106
43,7.1622090339660645,0.843410313129425,0.3588588535785675,0.8754578828811646,0.9317009449005127,7.043728828430176,0.592391312122345,0.17045454680919647,0.8823529481887817,0.6012790203094482
44,6.95493221282959,0.837296187877655,0.3511560559272766,0.8901098966598511,0.9261295199394226,6.8310227394104,0.625,0.1809815913438797,0.8676470518112183,0.6378505825996399
45,6.750168323516846,0.8305026888847351,0.3439226448535919,0.9120879173278809,0.9185414910316467,6.616604804992676,0.66847825050354,0.19863013923168182,0.8529411554336548,0.6908934116363525
46,6.556580066680908,0.8288043737411499,0.34068965911865234,0.9047619104385376,0.9175877571105957,6.419806957244873,0.695652186870575,0.20895522832870483,0.8235294222831726,0.7216585278511047
47,6.370169639587402,0.8464673757553101,0.36661699414253235,0.901098906993866,0.9247611165046692,6.253302097320557,0.6915760636329651,0.2066420614719391,0.8235294222831726,0.7065340280532837
48,6.188403606414795,0.83763587474823,0.35336193442344666,0.9047619104385376,0.9214182496070862,6.12125825881958,0.6114130616188049,0.1755952388048172,0.8676470518112183,0.6346083283424377
49,6.004012584686279,0.85767662525177,0.3826366662979126,0.8717948794364929,0.9377544522285461,5.974459648132324,0.5978260636329651,0.17241379618644714,0.8823529481887817,0.6035419702529907
